"year","species","stock","pe","B","B_lwr","B_upr","F","F_lwr","F_upr"
2009,"Hake","3LNO",-0.669921365101006,7.4023674530973,3.57461753639436,15.3289249417001,0.0667354063588535,0.0322266565906487,0.138196602845038
2010,"Hake","3LNO",-0.351927274992715,7.3880902609126,3.59473327824514,15.1844027020659,0.0387109509900157,0.0188351169032872,0.079560840224457
2011,"Hake","3LNO",0.258327231797103,9.03526433443189,4.49374765576615,18.1665745045354,0.0193685534282715,0.0096330763929276,0.0389429966712636
2012,"Hake","3LNO",0.342428560586834,11.4640904832657,5.76989155701141,22.7777886828392,0.0131715638689712,0.00662926511886395,0.0261703358733855
2013,"Hake","3LNO",0.404417745228685,14.7332515143381,7.48080647482575,29.0167511905596,0.0158824411415414,0.00806430735347555,0.0312800499234209
2014,"Hake","3LNO",-0.732796856561294,13.5345049572431,6.75938460418303,27.1005180448343,0.0233477324067838,0.0116602937064605,0.0467498179944435
2015,"Hake","3LNO",-1.59263318096222,9.72881942542923,4.92652723484413,19.2123016682366,0.0422456191267901,0.0213925435430518,0.0834259064058546
2016,"Hake","3LNO",-1.92239955577418,6.34604365638511,3.1613595661849,12.7389084492359,0.0704375866608242,0.0350893486503399,0.141394862128712
2017,"Hake","3LNO",-0.140815239455627,6.76575448043239,3.30409902228115,13.8541349338518,0.073753784805994,0.0360181276119032,0.15102452942088
2018,"Hake","3LNO",-0.359953361177224,6.72228787528606,3.24342155565583,13.9325565618869,0.0398673792274324,0.0192355221247137,0.0826287904304839
1977,"Plaice","3LNO",0.00448968660211809,835.325011864368,362.132939243936,1926.82796793634,0.0526513624940291,0.0228255976827575,0.121449874435128
1978,"Plaice","3LNO",-0.722543368391245,693.850578297468,305.290294410495,1576.95358751366,0.0721019792514346,0.0317244593602009,0.163870260260328
1979,"Plaice","3LNO",0.405429190881307,723.494428938478,315.490169518475,1659.14579685299,0.0671311319857171,0.0292734972972984,0.153947744470548
1980,"Plaice","3LNO",0.255687633621301,729.625838738235,315.795481090719,1685.75516887002,0.0672755779659421,0.0291181073660317,0.155436043069594
1981,"Plaice","3LNO",-0.0120948649220948,695.08653842008,290.487843110837,1663.22036309266,0.0721607990193685,0.0301571584337353,0.17266815527582
1982,"Plaice","3LNO",-0.0501950892056091,653.668462807374,282.201474040511,1514.10427858934,0.0770069276155878,0.0332453984258588,0.178372562266539
1983,"Plaice","3LNO",0.742197525429665,725.074031891303,284.356946670776,1848.8465215228,0.0520222740588435,0.0204019098183076,0.132650179436874
1984,"Plaice","3LNO",0.773572689743963,827.427381914003,305.766334968636,2239.08257399,0.0435844894528135,0.0161061500897381,0.117943003776721
1985,"Plaice","3LNO",0.809700020372291,954.493581968812,340.109006977565,2678.72352489551,0.050373308850149,0.0179492207960788,0.141369381620557
1986,"Plaice","3LNO",-0.119770921670396,890.711381697676,315.586232643466,2513.9460579134,0.064497884702566,0.0228521211977329,0.182038993015589
1987,"Plaice","3LNO",0.425841675815906,923.077047204074,311.12238506568,2738.70115419408,0.0579117422125455,0.0195191066824269,0.171819845070662
1988,"Plaice","3LNO",-0.216687146433462,837.82255336191,275.071054215632,2551.87385282498,0.0464632992317938,0.0152546725446111,0.141519797897324
1989,"Plaice","3LNO",-1.2541277420734,621.603448129402,200.101367662868,1930.97554124346,0.066289851068236,0.0213394727793731,0.205925629001318
1990,"Plaice","3LNO",-1.44014878632108,441.557946582143,149.501054387124,1304.16083678559,0.0543665903553933,0.0184072388334927,0.160574118345934
1991,"Plaice","3LNO",-1.72990581900743,301.962621513202,104.319976633541,874.055264711481,0.0844574731541236,0.0291777888992161,0.244468996475985
1992,"Plaice","3LNO",-2.63993930707357,166.812926478532,58.4510245276958,476.066119716122,0.0651628157929292,0.02283296279618,0.185967655619954
1993,"Plaice","3LNO",-0.724988443392811,143.169460957559,48.9154694336315,419.039105383401,0.0552911210746725,0.0188908383449254,0.161830195879862
1994,"Plaice","3LNO",-2.14616014026149,91.9130175682527,32.0239401386905,263.80272889329,0.00609271694930651,0.00212279835902124,0.0174869175240376
1995,"Plaice","3LNO",-1.78720680888924,67.0952149876912,24.1875625436961,186.119120771753,0.0081674974899556,0.00294435089596215,0.0226562721650852
1996,"Plaice","3LNO",1.11372297538737,90.9038821531132,30.5808463099515,270.218675662289,0.00962555150863855,0.00323811815691654,0.0286126809942229
1997,"Plaice","3LNO",0.359934336888757,104.266961822373,34.8589640245382,311.873850296166,0.0130913951662405,0.00437676964164758,0.0391577902039527
1998,"Plaice","3LNO",-0.259472033620942,104.126669759692,34.9716272834134,310.033138217346,0.0149817525481246,0.00503172018633175,0.0446075896714102
1999,"Plaice","3LNO",1.49502824547444,150.773946748271,48.9764075130501,464.157829705929,0.0161566374863629,0.00524821481853133,0.0497382336454733
2000,"Plaice","3LNO",0.317501987865039,168.507953555479,55.2253971913831,514.164349294819,0.0159873759259265,0.00523956980622022,0.0487819035626664
2001,"Plaice","3LNO",-0.277886590228985,165.462621676606,53.9944185085523,507.050171635038,0.0209533728214231,0.00683758766675944,0.0642103405456779
